,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
0,1,Scott Forks,Alice,Nicholson-Lowe,52,Head,Married,Female,Microbiologist,None,None
1,1,Scott Forks,Mitchell,Nicholson-Lowe,59,Husband,Married,Male,Homeopath,None,None
2,1,Scott Forks,Bernard,Nicholson-Lowe,14,Son,NA,Male,Student,None,NA
3,1,Scott Forks,Kieran,Nicholson-Lowe,13,Son,NA,Male,Student,None,NA
4,2,Scott Forks,Amy,Nicholls,41,Head,Married,Female,Publishing copy,None,Christian
5,2,Scott Forks,Raymond,Nicholls,43,Husband,Married,Male,Chemical engineer,None,Christian
6,2,Scott Forks,Beverley,Nicholls,12,Daughter,NA,Female,Student,None,NA
7,3,Scott Forks,Brenda,Price,76,Head,Married,Female,Retired Catering manager,None,Catholic
8,3,Scott Forks,Ryan,Price,78,Husband,Married,Male,"Retired Editor, magazine features",None,Catholic
9,4,Scott Forks,Megan,Singh,48,Head,Widowed,Female,Community arts worker,Mental Disability,Christian
10,4,Scott Forks,Arthur,Singh,20,Son,Single,Male,University Student,None,Christian
11,4,Scott Forks,Lee,Singh,16,Son,NA,Male,Student,None,NA
12,4,Scott Forks,Christian,Connor-Singh,16,Son,NA,Male,Student,None,NA
13,4,Scott Forks,Lorraine,Payne-Connor-Singh,14,Daughter,NA,Female,Student,None,NA
14,4,Scott Forks,Stewart,Wood-Payne-Connor-Singh,8,Son,NA,Male,Student,None,NA
15,5,Scott Forks,Sheila,Murphy,39,Head,Single,Female,Unemployed,None,Catholic
16,5,Scott Forks,Claire,Murphy,6,Daughter,NA,Female,Student,None,NA
17,5,Scott Forks,Tom,Murphy,1,Son,NA,Male,Child,None,NA
18,5,Scott Forks,Alex,Smith,59,Visitor,Divorced,Male,Lawyer,None,Muslim
19,6,Scott Forks,Jenna,Watts,65,Head,Married,Female,"Engineer, maintenance",None,Christian
20,6,Scott Forks,Abdul,Watts,66,Husband,Married,Male,Physiological scientist,None,None
21,6,Scott Forks,Liam,Watts,29,Son,Divorced,Male,"Engineer, chemical",None,None
22,6,Scott Forks,Natalie,Watts,26,Daughter,Divorced,Female,Pensions consultant,None,None
23,7,Scott Forks,Ricky,Davies,73,Head,Divorced,Male,"Retired Doctor, hospital",None,Muslim
